OrganizationName,EducationBoard,ContactNo,Email,Website,StreetAddress,District,Zone,ContactAddress,Courses,HighSchoolCourses,CollegeAndUniCourses,Link,Funding,FacebookLink,GooglePlusLink,TwitterLink,YoutubeLink,OtherLinks
Bright Vision College (BVC) Biratnagar,Purbanchal University,977-21-521551,info@brightvisioncollege.com.np,http://brightvisioncollege.com.np/,"Biratnagar - 06, Samjhana Chowk       ",Morang,Koshi,"Biratnagar - 06, Samjhana Chowk  Morang   Koshi","Bachelor of Laws (BA LLB),Master of Laws",,"Bachelor of Laws (BA LLB),Master of Laws",http://edusanjal.com/college/bright-vision-college-bvc-biratnagar,Private,,,,,
Himalayan College of Management,University of Madras,977-1-4422221,info@hcm.edu.np,http://hcm.edu.np/,Kamalpokhari       ,Kathmandu,Bagmati,Kamalpokhari  Kathmandu   Bagmati,"Master of Business Administration (MBA),Bachelor of Business Administration (BBA)",,"Master of Business Administration (MBA),Bachelor of Business Administration (BBA)",http://edusanjal.com/college/himalayan-college-of-management,Private,,,,,
Arunodaya Academy Higher Secondary School,HSEB,http://arunodaya.edu.np/,,http://arunodaya.edu.np/," -15, Dallu       ",Kathmandu,Bagmati,"Kathmandu-15, Dallu  Kathmandu   Bagmati","Ten Plus Two Management,Ten Plus Two Humanities","Ten Plus Two Management,Ten Plus Two Humanities",,http://edusanjal.com/college/arunodaya-academy-higher-secondary-school,Private,,,,,
Babai Multiple Campus,Tribhuvan University,"084-420129, 421018",bmcbardiya@gmail.com,http://babaicampus.edu.np/,Gulariya       ,Bardiya,Bheri,Gulariya  Bardiya   Bheri,"Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science,Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),Ten Plus Two Education,MA Nepali","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science,Ten Plus Two Education","Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),MA Nepali",http://edusanjal.com/college/babai-multiple-campus,Private,,,,,
Herald College,"London School of Marketing an Associate College of Anglia Ruskin University,The Institute of Chartered Accountants of Nepal (ICAN)","4010120, 4010121",heraldcollege1@gmail.com,http://www.heraldcollege.edu.np/,"Bishalnagar, Handigaun       ",Kathmandu,Bagmati,"Bishalnagar, Handigaun  Kathmandu   Bagmati","Bachelor of Business Administration (ABP Level 7 PGD in Business Strategy),Master of Business Administration (MBA),CAP - I",,"Bachelor of Business Administration (ABP Level 7 PGD in Business Strategy),Master of Business Administration (MBA),CAP - I",http://edusanjal.com/college/herald-college,Private,,,,,
Midwest Academy and Research Institute College of Life Science,Tribhuvan University,"082-522978, 522957",mari.hrdcoordinator@gmail.com,,"Tulsipur, Dang       ",Dang-Deukhuri,Rapti,"Tulsipur, Dang  Dang-Deukhuri   Rapti",Bachelor of Science (B.Sc) in Agriculture,,Bachelor of Science (B.Sc) in Agriculture,http://edusanjal.com/college/midwest-academy-and-research-institute-college-of-life-science,Private,,,,,
AIMS College,"HSEB,Tribhuvan University","071-540350, 438457",,,Butwal-11       ,Rupandehi,Lumbini," AIMS COllege of Management Rajmarg Chauraha, Butwal-11, Rupandehi","Ten Plus Two Management,Bachelor of Business Studies (BBS)",Ten Plus Two Management,Bachelor of Business Studies (BBS),http://edusanjal.com/college/aims-college,Private,,,,,
British Model College,Cambridge University,01-5111100,,,"The Trade Tower, Thapathali Road       ",Kathmandu,Bagmati,"The Trade Tower, Thapathali Road  Kathmandu   Bagmati","GCE A level Non-Science,GCE A level- Science",,"GCE A level Non-Science,GCE A level- Science",http://edusanjal.com/college/british-model-college,Private,,,,,
"AIMS College, Biratnagar",Tribhuvan University,977-21-537060,aimscollegebrt@gmail.com,,"Bhanu Tole, College Road, Biratnagar-14       ",Morang,Koshi,"Bhanu Tole, College Road, Biratnagar-14  Morang   Koshi","B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS),Bachelor of Arts-BA",,"B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS),Bachelor of Arts-BA",http://edusanjal.com/college/aims-college-biratnagar,Private,,,,,
Tinau Technical College,Tribhuvan University,"071-692790, 9857035687, 9857028545",ttc.csit@gmail.com,,"Tilottama-2, Janakinagar       ",Rupandehi,Lumbini,"Tilottama-2, Janakinagar  Rupandehi   Lumbini",B.Sc. Computer Science And Information Technology (B.SC. CSIT),,B.Sc. Computer Science And Information Technology (B.SC. CSIT),http://edusanjal.com/college/tinau-technical-college,Private,,,,,
Swastik College,Tribhuvan University,016635174,info@swastikcollege.edu.np,http://www.swastikcollege.edu.np/,"Char Dobato, Thimi (Near T.B Hospital)        ",Bhaktapur,Bagmati,"Char Dobato, Thimi (Near T.B Hospital)   Bhaktapur   Bagmati",B.Sc. Computer Science And Information Technology (B.SC. CSIT),,B.Sc. Computer Science And Information Technology (B.SC. CSIT),http://edusanjal.com/college/swastik-college,Private,,,,,
Sushma Godawari College,Tribhuvan University,"977 25 582712, 587410, 581052",godawaricollege@sushmagodawari.edu.np,http://www.sushmagodawari.edu.np/,"Itahari, Sunsari       ",Morang,Koshi,"Itahari, Sunsari  Morang   Koshi","B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS)",,"B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS)",http://edusanjal.com/college/sushma-godawari-college,Private,,,,,
Ambikeshwari College,Tribhuvan University,,,,Ghorahi-11 Dang       ,Dang-Deukhuri,Rapti,Ghorahi-11 Dang  Dang-Deukhuri   Rapti,B.Sc. Computer Science And Information Technology (B.SC. CSIT),,B.Sc. Computer Science And Information Technology (B.SC. CSIT),http://edusanjal.com/college/ambikeshwari-college,Private,,,,,
Mount Annapurna Campus,"HSEB,Tribhuvan University","061-532636, 522650",macpokhara@gmail.com,,"Phoolbari, Pokhara-11       ",Kaski,Gandaki,"Phoolbari, Pokhara-11  Kaski   Gandaki","B.Sc. Computer Science And Information Technology (B.SC. CSIT),Ten Plus Two Management,Ten Plus Two Science","Ten Plus Two Management,Ten Plus Two Science",B.Sc. Computer Science And Information Technology (B.SC. CSIT),http://edusanjal.com/college/mount-annapurna-campus,Private,,,,,
Millennium Model College,Tribhuvan University,056-520577,,,"Balmandir Road, Bharatpur-10       ",Chitwan,Narayani,"Balmandir Road, Bharatpur-10  Chitwan   Narayani","Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW)",,"Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW)",http://edusanjal.com/college/millennium-model-college,Private,,,,,
Amity College Jhapa,"HSEB,Tribhuvan University","023-542762, 621257",info@amity.edu.np,http://www.amity.edu.np/,"Anarmani-3, Birtamode        ",Jhapa,Mechi,"Anarmani-3, Birtamode   Jhapa   Mechi","Ten Plus Two Management,Bachelor of Business Studies (BBS)",Ten Plus Two Management,Bachelor of Business Studies (BBS),http://edusanjal.com/college/amity-college-jhapa,Private,,,,,
Kohalpur Model College,Tribhuvan University,081-541601,,,"Kohalpur-3, Ujyalo Bazar       ",Banke,Bheri,"Kohalpur-3, Ujyalo Bazar  Banke   Bheri",Bachelor of Business Studies (BBS),,Bachelor of Business Studies (BBS),http://edusanjal.com/college/kohalpur-model-college,Private,,,,,
Nihareeka College,Tribhuvan University,021-463963,nihareekacollege@gmail.com,,"Bargachhi, Biratnagar       ",Morang,Koshi,"Bargachhi, Biratnagar  Morang   Koshi","B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS)",,"B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS)",http://edusanjal.com/college/nihareeka-college,Private,,,,,
Birat Kshitiz College,Tribhuvan University,"021-521960, 9852027526",kshitiz.brt@gmail.com,http://kshitiz.edu.np/,"DSP Road, Biratnagar-3       ",Morang,Koshi,"DSP Road, Biratnagar-3  Morang   Koshi",B.Sc. Computer Science And Information Technology (B.SC. CSIT),,B.Sc. Computer Science And Information Technology (B.SC. CSIT),http://edusanjal.com/college/birat-kshitiz-college,Private,,,,,
Shree Yantra College,Tribhuvan University,977-23-584950,ddamaktech@yahoo.com,http://damaktechnical.com.np/,         ,Jhapa,Mechi,Jhapa   Jhapa   Mechi,B.Sc. Computer Science And Information Technology (B.SC. CSIT),,B.Sc. Computer Science And Information Technology (B.SC. CSIT),http://edusanjal.com/college/shree-yantra-college,Private,,,,,
Mission College,Tribhuvan University,977 31 521100,info@missioncollege.edu.np,http://missioncollege.edu.np/,"Rajbiraj,         ",Saptari,Sagarmatha,"Rajbiraj, Saptari  Saptari   Sagarmatha","B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),Master of Education (M.Ed) General,Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science","B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),Master of Education (M.Ed) General",http://edusanjal.com/college/mission-college,Private,,,,,
NIST College Banepa,"HSEB,Tribhuvan University",011-660792,,http://www.banepanist.edu.np/,"Banepa-4, Karunamarg       ",Kavrepalanchok,Bagmati,"Banepa-4, Karunamarg  Kavrepalanchok   Bagmati","B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Science (B.Sc) General",,"B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Science (B.Sc) General",http://edusanjal.com/college/nist-college-banepa,Private,,,,,
Birendra Memorial College,Tribhuvan University,"025-527320, 525441",,,"Dharan-4, Bhupi Marga       ",Sunsari,Koshi,"Dharan-4, Bhupi Marga  Sunsari   Koshi","B.Sc. Computer Science And Information Technology (B.SC. CSIT) ; 48; ; 360000;,Bachelor of Science (B.Sc) in Microbiology",,"B.Sc. Computer Science And Information Technology (B.SC. CSIT) ; 48; ; 360000;,Bachelor of Science (B.Sc) in Microbiology",http://edusanjal.com/college/birendra-memorial-college,Private,,,,,
Banke Bageshwori College,Tribhuvan University,081-521261,,,Surkhet Road Nepalgunj       ,Banke,Bheri,Surkhet Road Nepalgunj  Banke   Bheri,B.Sc. Computer Science And Information Technology (B.SC. CSIT),,B.Sc. Computer Science And Information Technology (B.SC. CSIT),http://edusanjal.com/college/banke-bageshwori-college,Private,,,,,
Hetauda City College,Tribhuvan University,057-526660,,,"Kantirajpath-4, Hetauda        ",Makwanpur,Narayani,"Kantirajpath-4, Hetauda   Makwanpur   Narayani",B.Sc. Computer Science And Information Technology (B.SC. CSIT),,B.Sc. Computer Science And Information Technology (B.SC. CSIT),http://edusanjal.com/college/hetauda-city-college,Private,,,,,
Birat Multiple College,Tribhuvan University,"9842060950, 9852030970, 9852032345",,,Biratnagar       ,Morang,Koshi,Biratnagar  Morang   Koshi,"B.Sc. Computer Science And Information Technology (B.SC. CSIT),B.Tech. Food Technology,Bachelor of Science (B.Sc) in Microbiology",,"B.Sc. Computer Science And Information Technology (B.SC. CSIT),B.Tech. Food Technology,Bachelor of Science (B.Sc) in Microbiology",http://edusanjal.com/college/birat-multiple-college,Private,,,,,
Arunodaya College,Tribhuvan University,056-620340,,,Gitanagar       ,Chitwan,Narayani,Gitanagar  Chitwan   Narayani,"Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",,"Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/arunodaya-college,Private,,,,,
Himalayan Darshan College,Tribhuvan University,021-472771,,,Biratnagar       ,Morang,Koshi,Biratnagar  Morang   Koshi,B.Sc. Computer Science And Information Technology (B.SC. CSIT),,B.Sc. Computer Science And Information Technology (B.SC. CSIT),http://edusanjal.com/college/himalayan-darshan-college,Private,,,,,
Shaheed Smarak College,"HSEB,Tribhuvan University",056-591031,,,"Bakhanpur, Sharada Nagar       ",Chitwan,Narayani,"Bakhanpur, Sharada Nagar  Chitwan   Narayani","Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education","Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education","Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/shaheed-smarak-college,Private,,,,,
Annapurna Model College,Tribhuvan University,"071-540108, 544777",annapurna.college@yahoo.com,,Butwal       ,Rupandehi,Lumbini,Butwal  Rupandehi   Lumbini,"Bachelor of Arts-BA,Bachelor of Education (B.Ed),Master of Arts (MA) in Rural Development",,"Bachelor of Arts-BA,Bachelor of Education (B.Ed),Master of Arts (MA) in Rural Development",http://edusanjal.com/college/annapurna-model-college,Private,,,,,
Achievers College,Tribhuvan University,071-437529,,,"Shankarnagar-9, Janakinagar       ",Rupandehi,Lumbini,"Shankarnagar-9, Janakinagar  Rupandehi   Lumbini","Bachelor of Business Studies (BBS),Ten Plus Two Management",Ten Plus Two Management,Bachelor of Business Studies (BBS),http://edusanjal.com/college/achievers-college,Private,,,,,
Oxford College,,info@oxfordacademy.edu.np,info@oxfordacademy.edu.np,http://oxfordacademy.edu.np/,"Butwal-10, Sukkhanagar       ",Rupandehi,Lumbini,"Butwal-10, Sukkhanagar  Rupandehi   Lumbini","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",,http://edusanjal.com/college/oxford-college,Private,,,,,
Nepal Rastriya COllege,Tribhuvan University,"01-4350469, 4366262",,,"Nepaltar, Manmaiju       ",Kathmandu,Bagmati,"Nepaltar, Manmaiju  Kathmandu   Bagmati","Bachelor of Business Studies (BBS),Bachelor of Arts-BA,Bachelor of Education (B.Ed)",,"Bachelor of Business Studies (BBS),Bachelor of Arts-BA,Bachelor of Education (B.Ed)",http://edusanjal.com/college/nepal-rastriya-college,Private,,,,,
City college of Management,Tribhuvan University,081523795,info@citycollege.edu.np,http://www.citycollege.edu.np/,Pasang Lhamu Marga Nepalgunj       ,Banke,Bheri,Pasang Lhamu Marga Nepalgunj  Banke   Bheri,"Bachelor of Business Studies (BBS),Master of Business Studies (MBS)",,"Bachelor of Business Studies (BBS),Master of Business Studies (MBS)",http://edusanjal.com/college/city-college-management,Private,,,,,
Kailpal Academy for Health Science,"CTEVT,Tribhuvan University",977-81-522725,info@kailpal.edu.np,http://kailpal.edu.np/,Surkhet Road Nepalgunj-13       ,Banke,Bheri,Surkhet Road Nepalgunj-13  Banke   Bheri,"Certificate in Diagnostic Radiography ; 30;,Health Assistant (HA) ; 40; ; 346923;,Bachelor of Science (B.Sc) in Microbiology,TSLC in Community Medicine Assistant-CMA ; 40;,TSLC IN Social Mobilization ; 40;,Junior Computer Technician ; 40;",,"Certificate in Diagnostic Radiography ; 30;,Health Assistant (HA) ; 40; ; 346923;,Bachelor of Science (B.Sc) in Microbiology,TSLC in Community Medicine Assistant-CMA ; 40;,TSLC IN Social Mobilization ; 40;,Junior Computer Technician ; 40;",http://edusanjal.com/college/kailpal-academy-health-science,Private,,,,,
Merryland College,"HSEB,Tribhuvan University","021 535275, 536836",info@merrylandcollege.com.np,http://www.merrylandcollege.com.np/,"Rangeli Road, Biratnagar       ",Morang,Koshi,"Rangeli Road, Biratnagar  Morang   Koshi","Bachelor of Business Studies (BBS),Ten Plus Two Management",Ten Plus Two Management,Bachelor of Business Studies (BBS),http://edusanjal.com/college/merryland-college,Private,,,,,
Lumbini Vision College,Tribhuvan University,,,,"Butwal-14,         ",Rupandehi,Lumbini,"Butwal-14, Rupandehi  Rupandehi   Lumbini",Bachelor of Business Studies (BBS),,Bachelor of Business Studies (BBS),http://edusanjal.com/college/lumbini-vision-college,Private,,,,,
Bharabi Science College,Tribhuvan University,977-25-580316,bharabiscience@gmail.com,,Itahari       ,Sunsari,Koshi,Itahari  Sunsari   Koshi,Bachelor of Science (B.Sc) General,,Bachelor of Science (B.Sc) General,http://edusanjal.com/college/bharabi-science-college,Private,,,,,
Damauli College of Higher Studies,"HSEB,Purbanchal University,Tribhuvan University","065-560580, 560795",damaulicollege@yahoo.com,,Damauli Bazar       ,Tanahu,Gandaki,Damauli Bazar  Tanahu   Gandaki,"Bachelor of Business Studies (BBS),Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education,Bachelor of Education (B.Ed)","Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education","Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/damauli-college-higher-studies,Private,,,,,
Banepa Siddhartha College,Tribhuvan University,,,,"Banepa-5,Kavre       ",Kavrepalanchok,Bagmati,"Banepa-5,Kavre  Kavrepalanchok   Bagmati",Bachelor of Business Studies (BBS),,Bachelor of Business Studies (BBS),http://edusanjal.com/college/banepa-siddhartha-college,Private,,,,,
Jhapa Campus,Tribhuvan University,,,,"Damak,         ",Jhapa,Mechi,"Damak, Jhapa  Jhapa   Mechi",Bachelor of Business Studies (BBS),,Bachelor of Business Studies (BBS),http://edusanjal.com/college/jhapa-campus,Private,,,,,
Kankai Aadarsh Campus,Tribhuvan University,"023-540055, 540095",,,"Birtamode-6, Kankai Tole       ",Jhapa,Mechi,"Birtamode-6, Kankai Tole  Jhapa   Mechi","Bachelor of Business Studies (BBS),Bachelor of Arts-BA,Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education,Master of Business Studies (MBS)","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education","Bachelor of Business Studies (BBS),Bachelor of Arts-BA,Master of Business Studies (MBS)",http://edusanjal.com/college/kankai-aadarsh-campus,Private,,,,,
